regime,pct_2_of_3_baseline,pct_1_of_3_step3,delta_pp
TREND,26.177285318559555,39.646814404432135,13.46952908587258
CALM,7.375346260387812,18.317174515235457,10.941828254847646
CRASH,3.081717451523546,3.081717451523546,0.0
UNDEFINED,63.365650969529085,38.95429362880887,-24.411357340720215
