cell,trade_count_2_3,trade_count_1_3,trade_count_increase_pct,PF_2_3,PF_1_3,WR_2_3,WR_1_3,expectancy_pts_2_3,expectancy_pts_1_3,sharpe_2_3,sharpe_1_3
orb_dax/CALM,122,333,172.95081967213113,1.7608653075347331,0.901413795588728,0.3442622950819672,0.24024024024024024,18.84356893736224,-3.0320884210233383,0.22743756885222025,-0.04282444996035859
us_momentum/CALM,232,570,145.68965517241378,1.3712521534569209,0.9952135647413161,0.5646551724137931,0.45263157894736844,6.497555408245121,-0.1094166642829773,0.1376662329490371,-0.002049305039228505
us_momentum/CRASH,182,182,0.0,2.158599834668521,2.158599834668521,0.5274725274725275,0.5274725274725275,44.81747783955522,44.81747783955522,0.28069798272889296,0.28069798272889296
us_momentum/TREND,569,832,46.22144112478033,1.1564045053191563,0.8417675813979122,0.45518453427065025,0.4074519230769231,3.284964403025567,-3.897047774656917,0.049846683481754285,-0.06258086202573528
