setup,regime,config,sample_flag,n_signals,n_trades,wr,wr_ci_low,wr_ci_high,expectancy,exp_ci_low,exp_ci_high,median_pnl,p25,p75,std,sharpe,pf,max_dd,p_value,fdr_significant,bonferroni_significant,train_expectancy,test_expectancy,oos_pass,oos_reason
orb_dax,TREND,baseline_F1234,REJECT,16,7,0.0,5.551115123125783e-17,0.35433043506668743,-45.555706191652334,-48.241393484808455,-42.77526959385097,-45.74776428397854,-47.96824748387007,-43.90376301581182,4.000684637699549,-180.76266484080094,0.0,-275.51135576961315,0.9999999556374101,False,False,-45.555706191652334,0.0,False,train expectancy -45.5557 ≤ 0 (no in-sample edge)
orb_dax,TREND,drop_F1,REJECT,77,41,0.4146341463414634,0.27756549454252133,0.5663289686596986,-9.179457551009165,-24.622910129008872,5.984088595294265,-38.5,-45.74776428397854,19.634500000000116,49.900517747927445,-2.9201975786858,0.6599936026359352,-760.6594881437213,0.8770990392919831,False,False,-8.370137705748357,-41.55225136144145,False,train expectancy -8.3701 ≤ 0 (no in-sample edge)
orb_dax,TREND,drop_F2,REJECT,16,7,0.0,5.551115123125783e-17,0.35433043506668743,-45.555706191652334,-48.241393484808455,-42.77526959385097,-45.74776428397854,-47.96824748387007,-43.90376301581182,4.000684637699549,-180.76266484080094,0.0,-275.51135576961315,0.9999999556374101,False,False,-45.555706191652334,0.0,False,train expectancy -45.5557 ≤ 0 (no in-sample edge)
orb_dax,TREND,drop_F3,PRIMARY,726,383,0.3368146214099217,0.2913100954113415,0.3855601129136171,8.416181965836909,1.260314738972055,16.034665928002973,-38.5,-38.5,81.11000000000422,77.63552056771886,1.7208971595043252,1.3015129349580885,-2423.009188373162,0.017259285921037572,False,False,16.39155371331122,-1.3675589569368132,False,test expectancy -1.3676 ≤ 0 (negative OOS)
orb_dax,TREND,drop_F4,REJECT,18,7,0.0,5.551115123125783e-17,0.35433043506668743,-45.555706191652334,-48.241393484808455,-42.77526959385097,-45.74776428397854,-47.96824748387007,-43.90376301581182,4.000684637699549,-180.76266484080094,0.0,-275.51135576961315,0.9999999556374101,False,False,-45.555706191652334,0.0,False,train expectancy -45.5557 ≤ 0 (no in-sample edge)
orb_dax,TREND,all_off,PRIMARY,3266,1688,0.2896919431279621,0.26854896119049365,0.31178996696480243,0.9752583296041398,-3.0044997667097646,5.0938860297164235,-38.5,-38.88462753719068,54.29299999999921,85.59919119564925,0.18086322789750595,1.0321516656332217,-9036.240474902355,0.3198877035864839,False,False,9.117230293002327,-13.413341304073311,False,test expectancy -13.4133 ≤ 0 (negative OOS)
orb_dax,CALM,baseline_F1234,REJECT,4,1,1.0,0.20654931437723745,1.0,87.0099999999984,87.0099999999984,87.0099999999984,87.0099999999984,87.0099999999984,87.0099999999984,0.0,0.0,inf,0.0,1.0,False,False,87.0099999999984,0.0,False,test expectancy 0.0000 ≤ 0 (negative OOS)
orb_dax,CALM,drop_F1,REJECT,7,4,0.25,0.04558726080970055,0.6993581574175981,-7.3128940449469155,-38.88078808989303,55.549980865582256,-38.66503826883309,-38.8554323137796,-7.1225000000004,62.88219920627945,-1.8461280856566442,0.7483985927168815,-116.26157617978606,0.5844778220036126,False,False,87.0099999999984,-38.753858726595354,False,test expectancy -38.7539 ≤ 0 (negative OOS)
orb_dax,CALM,drop_F2,REJECT,4,1,1.0,0.20654931437723745,1.0,87.0099999999984,87.0099999999984,87.0099999999984,87.0099999999984,87.0099999999984,87.0099999999984,0.0,0.0,inf,0.0,1.0,False,False,87.0099999999984,0.0,False,test expectancy 0.0000 ≤ 0 (negative OOS)
orb_dax,CALM,drop_F3,PRIMARY,240,122,0.3442622950819672,0.2658673683825975,0.4321653757057835,18.84356893736224,3.7876465586189636,33.67097585904546,-38.5,-38.5,95.5,83.19326838320939,3.5956320642325634,1.7608653075347331,-668.9571355502558,0.006845715091148035,True,False,11.605253021930084,25.40329273572263,True,OOS ratio 218.89% ≥ 70%
orb_dax,CALM,drop_F4,REJECT,4,1,1.0,0.20654931437723745,1.0,87.0099999999984,87.0099999999984,87.0099999999984,87.0099999999984,87.0099999999984,87.0099999999984,0.0,0.0,inf,0.0,1.0,False,False,87.0099999999984,0.0,False,test expectancy 0.0000 ≤ 0 (negative OOS)
orb_dax,CALM,all_off,PRIMARY,814,509,0.26129666011787817,0.22501860059210935,0.30115075287866633,2.5008102609058773,-3.823529760685232,8.756341260523186,-38.5,-38.5,10.970000000001164,76.08058785811714,0.5218036989031688,1.087617592623062,-4191.162463873847,0.22933825287439533,False,False,-8.94995116849156,17.542946865887057,False,train expectancy -8.9500 ≤ 0 (no in-sample edge)
